name,price
★ Butterfly Knife | Gamma Doppler Phase 4 (Factory New),2992.58
★ Flip Knife | Doppler Ruby (Factory New),2916.01
★ StatTrak™ Skeleton Knife | Crimson Web (Minimal Wear),2362.04
★ Butterfly Knife | Gamma Doppler Phase 1 (Factory New),2064.42
★ Hand Wraps | Slaughter (Factory New),1942.54
★ Skeleton Knife | Case Hardened (Factory New),1645.41
★ StatTrak™ Karambit | Gamma Doppler Phase 4 (Factory New),1563.95
Glock-18 | Fade (Factory New),1292
★ Moto Gloves | POW! (Minimal Wear),1237.9
★ StatTrak™ M9 Bayonet | Fade (Minimal Wear),1190.37
★ StatTrak™ M9 Bayonet | Gamma Doppler Phase 4 (Factory New),1187.26
AK-47 | Gold Arabesque (Battle-Scarred),1142.18
★ StatTrak™ Karambit | Slaughter (Factory New),1140.31
AWP | Fade (Factory New),1111.91
★ M9 Bayonet | Marble Fade (Factory New),1109.56
AWP | Fade (Factory New),1095.05
M4A1-S | Imminent Danger (Field-Tested),1072.5
★ StatTrak™ M9 Bayonet | Marble Fade (Factory New),1054.2
★ StatTrak™ Butterfly Knife | Freehand (Factory New),1041.01
★ StatTrak™ Talon Knife | Doppler Phase 3 (Factory New),939.26
★ StatTrak™ M9 Bayonet | Gamma Doppler Phase 3 (Factory New),935.32
★ Skeleton Knife,934.07
★ Talon Knife | Doppler Phase 4 (Factory New),897.44
★ M9 Bayonet | Gamma Doppler Phase 3 (Factory New),882.81
★ M9 Bayonet | Gamma Doppler Phase 3 (Factory New),882.81
★ M9 Bayonet | Gamma Doppler Phase 1 (Factory New),878.2
★ Specialist Gloves | Tiger Strike (Field-Tested),874.2
★ Karambit | Doppler Phase 1 (Factory New),873.7
★ Stiletto Knife | Doppler Black Pearl (Factory New),853.29
★ Talon Knife | Doppler Phase 2 (Factory New),837.33
★ StatTrak™ Talon Knife | Slaughter (Factory New),812.25
★ Karambit | Lore (Field-Tested),798.75
★ Bayonet | Fade (Factory New),791.52
★ M9 Bayonet | Doppler Phase 4 (Factory New),791.32
★ Butterfly Knife | Case Hardened (Minimal Wear),790.18
★ Hand Wraps | Constrictor (Factory New),781.76
★ M9 Bayonet | Doppler Phase 4 (Factory New),776.58
★ Karambit | Slaughter (Minimal Wear),772.27
★ Butterfly Knife | Damascus Steel (Field-Tested),760.8
★ StatTrak™ Shadow Daggers | Doppler Sapphire (Factory New),743.52
★ M9 Bayonet | Doppler Phase 2 (Factory New),739.9
Atlanta 2017 Cobblestone Souvenir Package,726.44
★ StatTrak™ Bayonet | Gamma Doppler Phase 3 (Factory New),724.83
★ Karambit | Blue Steel (Factory New),718.62
