name,price
Golden Silent Wake,585.6
Genuine Lava Baby Roshan,571.91
Golden Grasping Bludgeon,273.05
Genuine Silent Wake of the Crimson Witness,225.37
Mace of Aeons,197.08
Genuine Golden Trove Cask,189.36
Weapon of the Ardalan Interdictor,138.86
Unusual Baby Roshan,136.87
Nemestice Emblem 2021,135.88
Genuine Perceptions of the Eternal Mind,110.11
Crimson Flight of Epiphany,68.37
Axia of Metira,65.11
Axia of Metira,65.11
Darktrench Stalker,50.45
Unusual Captain Bamboo,46.21
Genuine Rapiers of the Burning God,45.47
Genuine Rapiers of the Burning God,45.47
Genuine Rapiers of the Burning God,45.47
Armor of the Demon Trickster,45.07
Armor of the Demon Trickster,45.07
Hair of the Survivor,44.19
Hair of the Survivor,42.9
Unusual Snelfret the Snail,41.1
Stormcharge Dragoon,40.49
Bane of the Deathstalkers,35.96
Unusual Tinkbot,35.17
Corrupted Feast of Abscession,35.16
Exalted Manifold Paradox,34.66
Exalted Fractal Horns of Inner Abysm,34.41
Exalted Fractal Horns of Inner Abysm,34.41
Exalted Fractal Horns of Inner Abysm,34.41
Inscribed Manifold Paradox,34.41
Exalted Flockheart's Gamble,34.04
Genuine Sapphire Cask,33.94
Inscribed Flockheart's Gamble,33.72
Twisted Maelstrom,33.43
Twisted Maelstrom,33.43
Twisted Maelstrom,33.43
Twisted Maelstrom,33.43
Twisted Maelstrom,33.43
Inscribed Manifold Paradox,33.41
Inscribed Manifold Paradox,33.41
Inscribed Manifold Paradox,33.41
Flockheart's Gamble,33.4
Manifold Paradox,33.33
Exalted Tempest Helm of the Thundergod,33.3
Exalted Blades of Voth Domosh,33.09
Unusual Skip the Delivery Frog,32.65
Unusual Skip the Delivery Frog,32.65
Genuine Fire Lotus Belt,32.4
Bladeform Legacy,32.23
Bladeform Legacy,32.23
Bladeform Legacy,32.23
Bladeform Legacy,32.23
Inscribed The Magus Cypher,31.8
Tempest Helm of the Thundergod,31.37
Tempest Helm of the Thundergod,31.37
Rotten Stache,31.2
Rotten Stache,31.2
Genuine Sceptre of Icewrack,30.84
Sylvan Vedette,30.83
Sylvan Vedette,30.83
Tempest Helm of the Thundergod,30.46
Tempest Helm of the Thundergod,30.46
Exalted Bladeform Legacy,29.57
Feast of Abscession,29.41
Inscribed Bladeform Legacy,29.39
Autographed Feast of Abscession,28.64
Inscribed Feast of Abscession,28.53
Inscribed Feast of Abscession,28.53
Exalted Feast of Abscession,28.06
Frost Avalanche,27.77
Inscribed Blades of Voth Domosh,27.77
Inscribed Fiery Soul of the Slayer,27.7
Inscribed Fiery Soul of the Slayer,27.7
Exalted Frost Avalanche,26.94
Exalted Frost Avalanche,26.94
Prismatic: Champion's Green,26.33
Prismatic: Champion's Green,26.33
Prismatic: Champion's Green,26.33
